,iter,method,n,mse_train,mse_val,mse_test,R2_train,R2_val,R2_test,early_stopping,optimizer,residual_connection,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,mode,verbose,mlp_depth,init_type,max_iter,order0,n_iter_no_change,add_mask,imputation_type,mdm,n_features,missing_rate,prop_latent,snr,masking,prop_for_masking,link,curvature,sm_type,sm_param,perm,width_factor,max_leaf_nodes,min_samples_leaf
50,0,NeuMiss_uniform_,100000,0.530619505328914,0.5477576759000056,0.5503866692533262,0.5842741803519429,0.5669108654909704,0.5672890417936636,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
51,1,NeuMiss_uniform_,100000,0.5238025516235929,0.5307929481450022,0.5319442018728135,0.590355666977721,0.5968885400152156,0.5945753514393148,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
52,2,NeuMiss_uniform_,100000,0.5609359668009998,0.566401463882414,0.5854822856809772,0.5600989447097098,0.5507528497198673,0.5435046116823191,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
53,3,NeuMiss_uniform_,100000,0.5234529165332419,0.5232327983917404,0.5499845108646834,0.5918298986011481,0.5864894247757647,0.5624943042032906,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
54,4,NeuMiss_uniform_,100000,0.5382270190695365,0.5371824251758064,0.5448773079939825,0.5805369452285573,0.5743563881048925,0.5740066655268643,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
55,5,NeuMiss_uniform_,100000,0.5942029949331893,0.5886333124372548,0.5972871198923363,0.5349035643555957,0.5209358208844853,0.5362659450265725,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
56,6,NeuMiss_uniform_,100000,0.5812224561607924,0.6093098791711087,0.6007687650441632,0.5446893242490609,0.5111775498818345,0.5321070726995991,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
57,7,NeuMiss_uniform_,100000,0.5250018465020805,0.5300833584602771,0.5416450867251313,0.5912013231130813,0.5762788648720902,0.5733903305553218,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
58,8,NeuMiss_uniform_,100000,0.6087568175471272,0.6152329830117326,0.6238734332665219,0.5230414360023383,0.5110490744398319,0.5060586259908231,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
59,9,NeuMiss_uniform_,100000,0.5310906949104971,0.5422355232621159,0.5535773435371447,0.5852180161046721,0.5812689264801019,0.5681912752365537,True,adam,True,20.0,1000.0,,0.01,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
60,0,NeuMiss_uniform_,100000,0.36678965058094043,0.3894439918837074,0.37270925507056385,0.7133465223458777,0.6907074982081112,0.7031073192820732,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
61,1,NeuMiss_uniform_,100000,0.3571890817300928,0.3872112006117427,0.36745286557849116,0.720673430231092,0.7004336256495336,0.7136353813607792,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
